_chgType,ID,PROJECT_ID,PARENT_TASK_ID,TITLE,ASSIGNEE_ID,PLANNED_START_DATE,PLANNED_END_DATE,ACTUAL_START_DATE,ACTUAL_END_DATE,ESTIMATED_HOURS,ACTUAL_HOURS,DEPENDS_ON_ID,STATUS,PRIORITY,BLOCK_REASON,SORT_NUM,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,73,1,,A31,,,,,,,,72,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,74,1,,A30,,,,,,,,73,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,75,1,,A29,,,,,,,,74,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,76,1,,A28,,,,,,,,75,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,77,1,,A27,,,,,,,,76,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,78,1,,A26,,,,,,,,77,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,79,1,,A25,,,,,,,,78,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,8,1,,A96,,,,,,,,7,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,80,1,,A24,,,,,,,,79,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,81,1,,A23,,,,,,,,80,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,82,1,,A22,,,,,,,,81,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,83,1,,A21,,,,,,,,82,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,84,1,,A20,,,,,,,,83,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,85,1,,A19,,,,,,,,84,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,86,1,,A18,,,,,,,,85,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,87,1,,A17,,,,,,,,86,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,88,1,,A16,,,,,,,,87,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,89,1,,A15,,,,,,,,88,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,9,1,,A95,,,,,,,,8,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,90,1,,A14,,,,,,,,89,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,91,1,,A13,,,,,,,,90,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,92,1,,A12,,,,,,,,91,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,93,1,,A11,,,,,,,,92,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,94,1,,A10,,,,,,,,93,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,95,1,,A9,,,,,,,,94,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,96,1,,A8,,,,,,,,95,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,97,1,,A7,,,,,,,,96,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,98,1,,A6,,,,,,,,97,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,99,1,,A5,,,,,,,,98,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
