_chgType,ID,CODE,ORG_ID,FORMAT_ID,RELATED_BILL_TYPE,RELATED_BILL_CODE,STATE,BLOCKING_LEVEL,ERROR,RETRY_COUNT,ATTACHMENT_FILE_ID,SENT_AT,ACKNOWLEDGED_AT,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,BUSINESS_DATE
A,9016,@var:ErpB2bEdiDoc@code_16,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_16,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9017,@var:ErpB2bEdiDoc@code_17,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_17,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9018,@var:ErpB2bEdiDoc@code_18,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_18,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9019,@var:ErpB2bEdiDoc@code_19,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_19,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9020,@var:ErpB2bEdiDoc@code_20,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_20,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9021,@var:ErpB2bEdiDoc@code_21,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_21,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9022,@var:ErpB2bEdiDoc@code_22,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_22,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9023,@var:ErpB2bEdiDoc@code_23,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_23,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9024,@var:ErpB2bEdiDoc@code_24,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_24,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9025,@var:ErpB2bEdiDoc@code_25,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_25,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9026,@var:ErpB2bEdiDoc@code_26,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_26,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9027,@var:ErpB2bEdiDoc@code_27,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_27,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9028,@var:ErpB2bEdiDoc@code_28,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_28,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9090,@var:ErpB2bEdiDoc@code_29,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_29,ERROR,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9091,@var:ErpB2bEdiDoc@code_30,1601,8911,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_30,ERROR,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate_30
