_chgType,SID,BIZ_OBJ_NAME,OBJ_ID,BIZ_KEY,OPERATION_NAME,PROP_NAME,OLD_VALUE,NEW_VALUE,CHANGE_TIME,APP_ID,OPERATOR_ID,APPROVER_ID
A,@var:NopSysChangeLog@sid_41,ErpFinVoucherTemplateLine,3,,ErpFinVoucherTemplateLine__save,updatedBy,,@var:NopSysChangeLog@newValue_8,@var:NopSysChangeLog@changeTime_42,nop-app,autotest,
A,@var:NopSysChangeLog@sid_33,ErpFinVoucherTemplateLine,3,,ErpFinVoucherTemplateLine__save,dcDirection,,@var:NopSysChangeLog@newValue_28,@var:NopSysChangeLog@changeTime_42,nop-app,autotest,
A,@var:NopSysChangeLog@sid_28,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,updateTime,,@var:NopSysChangeLog@newValue_21,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_10,ErpFinVoucherTemplate,1,F16-PREVIEW,ErpFinVoucherTemplate__save,delVersion,,@var:NopSysChangeLog@newValue_7,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_40,ErpFinVoucherTemplateLine,3,,ErpFinVoucherTemplateLine__save,createTime,,@var:NopSysChangeLog@newValue_33,@var:NopSysChangeLog@changeTime_42,nop-app,autotest,
A,@var:NopSysChangeLog@sid_36,ErpFinVoucherTemplateLine,3,,ErpFinVoucherTemplateLine__save,amountKey,,,@var:NopSysChangeLog@changeTime_42,nop-app,autotest,
A,@var:NopSysChangeLog@sid_5,ErpFinVoucherTemplate,1,F16-PREVIEW,ErpFinVoucherTemplate__save,voucherType,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_37,ErpFinVoucherTemplateLine,3,,ErpFinVoucherTemplateLine__save,memoTemplate,,@var:NopSysChangeLog@newValue_30,@var:NopSysChangeLog@changeTime_42,nop-app,autotest,
A,@var:NopSysChangeLog@sid_29,ErpFinVoucherTemplateLine,3,,ErpFinVoucherTemplateLine__save,id,,@var:NopSysChangeLog@newValue_24,@var:NopSysChangeLog@changeTime_42,nop-app,autotest,
A,@var:NopSysChangeLog@sid_23,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,memoTemplate,,@var:NopSysChangeLog@newValue_18,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_9,ErpFinVoucherTemplate,1,F16-PREVIEW,ErpFinVoucherTemplate__save,validTo,,@var:NopSysChangeLog@newValue_6,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_35,ErpFinVoucherTemplateLine,3,,ErpFinVoucherTemplateLine__save,accountKey,,,@var:NopSysChangeLog@changeTime_42,nop-app,autotest,
A,@var:NopSysChangeLog@sid_22,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,amountKey,,@var:NopSysChangeLog@newValue_17,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_21,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,accountKey,,,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_27,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,updatedBy,,@var:NopSysChangeLog@newValue_8,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_17,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,lineNo,,@var:NopSysChangeLog@newValue_25,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_15,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,id,,@var:NopSysChangeLog@newValue_26,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
