_chgType,ID,INSPECTION_ID,LINE_NO,PARAMETER_ID,PARAMETER_NAME,SPEC_MIN,SPEC_MAX,MEASURED_VALUE,UNIT,RESULT,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,8459801,84598,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8459901,84599,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8460001,84600,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8460101,84601,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8460201,84602,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8460301,84603,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8460401,84604,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8460501,84605,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8460601,84606,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8460701,84607,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8460801,84608,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8460901,84609,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8461001,84610,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8461101,84611,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8461201,84612,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8461301,84613,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8461401,84614,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8461501,84615,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8461601,84616,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8462801,84628,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8462901,84629,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8463001,84630,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8463101,84631,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8463201,84632,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8463301,84633,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8463401,84634,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8463501,84635,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8463601,84636,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8463701,84637,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8465901,84659,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8466001,84660,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8466101,84661,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8466201,84662,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8466301,84663,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8466401,84664,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8466501,84665,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8466601,84666,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8466701,84667,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8466801,84668,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8469001,84690,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8469101,84691,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8469201,84692,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8469301,84693,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8469401,84694,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8469501,84695,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8469601,84696,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8469701,84697,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8469801,84698,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8469901,84699,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8472101,84721,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8472201,84722,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8472301,84723,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8472401,84724,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8472501,84725,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8472601,84726,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8472701,84727,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8472801,84728,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8472901,84729,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8473001,84730,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8475201,84752,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8475301,84753,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8475401,84754,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8475501,84755,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8475601,84756,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8475701,84757,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8475801,84758,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8475901,84759,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8476001,84760,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8476101,84761,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8478301,84783,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8478401,84784,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8478501,84785,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8478601,84786,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8478701,84787,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8478801,84788,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8478901,84789,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8479001,84790,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8479101,84791,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8479201,84792,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
